buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	205216	-244547.83043670646
2026-01-01	2026-03-01	201089	-392873.57582454686
2026-01-01	2026-04-01	197125	-370998.0467587709
2026-01-01	2026-05-01	193314	-403100.2240028859
2026-01-01	2026-06-01	189648	-445330.86601753236
2026-01-01	2026-07-01	186118	-467623.8046344281
2026-01-01	2026-08-01	182718	-441193.2030545712
2026-01-01	2026-09-01	179439	-410127.56999037263
2026-01-01	2026-10-01	176276	-353506.91462974553
2026-01-01	2026-11-01	173222	-299579.52910757065
2026-01-01	2026-12-01	170273	-235696.61213302627
2026-02-01	2026-03-01	227776	-312302.9233947753
2026-02-01	2026-04-01	222703	-289382.84182803635
2026-02-01	2026-05-01	217851	-327337.8074235678
2026-02-01	2026-06-01	213207	-376430.58100268844
2026-02-01	2026-07-01	208756	-402873.9046765328
2026-02-01	2026-08-01	204487	-374616.00933530345
2026-02-01	2026-09-01	200389	-341257.8321099997
2026-02-01	2026-10-01	196453	-279510.1934734344
2026-02-01	2026-11-01	192668	-220955.7402345658
2026-02-01	2026-12-01	189026	-151522.228198433
2026-03-01	2026-04-01	273624	-126901.09022426605
2026-03-01	2026-05-01	266336	-177631.23611068737
2026-03-01	2026-06-01	259427	-241249.3324358701
2026-03-01	2026-07-01	252867	-276698.9519838095
2026-03-01	2026-08-01	246630	-245729.10133051875
2026-03-01	2026-09-01	240694	-208764.6052771093
2026-03-01	2026-10-01	235037	-138002.35596151353
2026-03-01	2026-11-01	229639	-71461.0723275661
2026-03-01	2026-12-01	224484	7640.937176513512
2026-04-01	2026-05-01	260050	-197041.30848765382
2026-04-01	2026-06-01	253459	-258703.7767691851
2026-04-01	2026-07-01	247194	-292926.94449648855
2026-04-01	2026-08-01	241231	-262244.2688390018
2026-04-01	2026-09-01	235548	-225679.89995985033
2026-04-01	2026-10-01	230128	-156006.75147628796
2026-04-01	2026-11-01	224951	-90419.07092590336
2026-04-01	2026-12-01	220002	-12479.293783092538
2026-05-01	2026-06-01	268040	-216057.65277385712
2026-05-01	2026-07-01	261043	-253311.02984907635
2026-05-01	2026-08-01	254402	-221960.8235211849
2026-05-01	2026-09-01	248091	-184450.18575131905
2026-05-01	2026-10-01	242085	-112154.37643074988
2026-05-01	2026-11-01	236363	-44276.04545669568
2026-05-01	2026-12-01	230905	36460.89034867274
2026-06-01	2026-07-01	281715	-194181.4850031138
2026-06-01	2026-08-01	273996	-162036.74746255882
2026-06-01	2026-09-01	266689	-123311.90248558519
2026-06-01	2026-10-01	259761	-47325.358301210355
2026-06-01	2026-11-01	253185	23742.371606826782
2026-06-01	2026-12-01	246933	108403.9133942125
2026-07-01	2026-08-01	287503	-120728.81939194207
2026-07-01	2026-09-01	279468	-81302.61603155144
2026-07-01	2026-10-01	271870	-2916.187507152485
2026-07-01	2026-11-01	264675	70201.46351337436
2026-07-01	2026-12-01	257850	157407.88438081733
2026-08-01	2026-09-01	270408	-111085.74789676671
2026-08-01	2026-10-01	263289	-34389.516779565834
2026-08-01	2026-11-01	256534	37286.64892082219
2026-08-01	2026-12-01	250118	122701.46582136147
2026-09-01	2026-10-01	253000	-72120.82552909851
2026-09-01	2026-11-01	246757	-2245.4083127022227
2026-09-01	2026-12-01	240815	80944.3878729343
2026-10-01	2026-11-01	228571	-75779.54933676712
2026-10-01	2026-12-01	223464	3059.306245422244
2026-11-01	2026-12-01	208649	-63438.92599058151
